recall,precision
0.9783627839884601,0.2821486142166294
0.9304002884962135,0.3121974830590513
0.867291741795889,0.3557692307692308
0.779841327082582,0.40146662953680495
0.6978002163721602,0.44683062002078283
0.6083663901911287,0.4887729972475735
0.5263252794807068,0.525
0.44807068157230434,0.5492926613616269
0.3813559322033898,0.5750407830342578
0.3247385503065272,0.5971485411140584
0.28020194734944104,0.6154455445544554
0.23981247746123333,0.6360593017694883
0.20248827984132708,0.6487579433853264
0.1702127659574468,0.6606018194541637
0.142445005409304,0.6545153272576636
0.12098809953119365,0.6617357001972387
0.10602235845654526,0.6674233825198638
0.09358095924990985,0.6749024707412223
0.08150018031013342,0.6647058823529411
0.070861882437793,0.6605042016806723
0.06545257843490804,0.6797752808988764
0.060584204832311576,0.6829268292682927
0.056617381896862606,0.6840958605664488
0.05192931842769564,0.6956521739130435
0.04922466642625316,0.7146596858638743
0.04778218535881717,0.7320441988950276
0.04597908402452218,0.7589285714285714
0.04435629282365669,0.7760252365930599
0.04399567255679769,0.8026315789473685
0.04183195095564371,0.8345323741007195
0.04038946988820772,0.8648648648648649
0.03876667868734223,0.8704453441295547
0.03624233681932924,0.8854625550660793
0.03498016588532275,0.8940092165898618
0.03317706455102777,0.8975609756097561
0.031914893617021274,0.9076923076923077
0.029210241615578794,0.9050279329608939
0.02758745041471331,0.9161676646706587
0.025423728813559324,0.9155844155844156
0.02289938694554634,0.927007299270073
0.02109628561125135,0.9285714285714286
0.01821132347637937,0.9351851851851852
0.016047601875225387,0.9368421052631579
0.0142445005409304,0.9404761904761905
0.01280201947349441,0.9466666666666667
0.01009736747205193,0.9333333333333333
0.007933645870897944,0.9361702127659575
0.00721240533717995,0.9302325581395349
0.006310854670032456,0.9722222222222222
0.005409304002884962,0.967741935483871
0.0046880634691669676,0.9629629629629629
0.003606202668589975,0.9523809523809523
0.002704652001442481,0.9375
0.002163721601153985,0.9230769230769231
0.0018031013342949874,0.9090909090909091
0.00144248106743599,0.8888888888888888
0.0009015506671474937,0.8333333333333334
0.00018031013342949875,1.0
0.00018031013342949875,1.0
0.00018031013342949875,1.0
