source,target,weight
161,159,0.9447852760736196
162,159,0.9545454545454546
163,159,0.8888888888888888
165,159,1.0
167,159,0.9047619047619048
172,159,0.8888888888888888
174,159,1.0
175,159,1.0
177,159,0.8226415094339623
180,159,0.8061674008810573
181,159,0.9444444444444444
182,159,1.0
194,159,1.0
195,159,0.835820895522388
201,159,1.0
205,159,0.8260869565217391
209,159,1.0
210,159,1.0
212,159,0.875
214,159,0.8461538461538461
215,159,1.0
224,159,0.8333333333333334
227,159,0.8333333333333334
231,159,0.875
239,159,0.8333333333333334
248,159,0.9375
251,159,0.8571428571428571
252,159,1.0
253,159,1.0
254,159,0.9375
255,159,0.8804347826086957
265,159,1.0
266,159,0.8333333333333334
270,159,0.8666666666666667
276,159,1.0
282,159,0.868421052631579
290,159,0.873589164785553
292,159,0.8666666666666667
297,159,0.8888888888888888
301,159,0.8425925925925926
310,159,0.8888888888888888
313,159,0.8277777777777777
317,159,0.8181818181818182
318,159,1.0
321,159,1.0
324,159,1.0
330,159,1.0
339,159,1.0
346,159,0.8888888888888888
347,159,0.875
357,159,0.8333333333333334
360,159,0.8333333333333334
362,159,1.0
375,159,0.8805309734513275
386,159,0.8518518518518519
390,159,0.8637992831541219
399,159,1.0
405,159,0.9333333333333333
422,159,0.9090909090909091
423,159,0.8093158660844251
425,159,1.0
427,159,0.8333333333333334
431,159,0.8333333333333334
432,159,1.0
161,166,0.803680981595092
164,166,0.8689655172413793
165,207,1.0
165,235,1.0
165,269,1.0
170,166,0.875
174,166,1.0
186,166,0.875
209,166,1.0
210,166,1.0
215,166,1.0
223,166,1.0
226,166,0.8461538461538461
270,166,0.9333333333333333
274,166,1.0
287,166,1.0
292,166,0.8666666666666667
304,166,1.0
312,166,1.0
316,166,1.0
345,166,1.0
346,166,0.8888888888888888
347,166,0.875
374,166,1.0
379,166,1.0
405,166,0.9
431,166,1.0
432,166,1.0
170,245,1.0
174,221,1.0
174,245,1.0
174,284,1.0
174,314,1.0
174,410,1.0
175,245,1.0
175,352,1.0
175,395,1.0
175,420,1.0
176,207,0.9354838709677419
193,177,1.0
255,179,1.0
374,179,1.0
425,179,1.0
181,245,0.8333333333333334
182,390,1.0
183,245,1.0
183,377,1.0
186,185,0.8888888888888888
210,185,1.0
215,185,1.0
278,185,1.0
292,185,0.9333333333333333
316,185,1.0
431,185,0.8333333333333334
210,187,1.0
425,188,1.0
193,200,1.0
193,294,1.0
194,284,1.0
194,336,1.0
196,207,1.0
198,395,0.9818181818181818
202,200,1.0
209,200,1.0
223,200,1.0
347,200,0.875
374,200,1.0
431,200,0.8333333333333334
201,221,1.0
206,221,1.0
209,207,1.0
210,207,1.0
223,207,1.0
374,207,1.0
425,207,1.0
431,207,0.8333333333333334
210,228,1.0
210,235,1.0
210,245,1.0
210,290,1.0
210,314,1.0
210,352,1.0
210,407,1.0
215,245,1.0
215,314,1.0
215,336,1.0
215,395,1.0
215,410,1.0
252,221,1.0
253,221,0.9
223,245,1.0
223,284,1.0
223,314,1.0
223,336,1.0
223,352,1.0
223,410,1.0
224,290,0.8333333333333334
224,354,0.8333333333333334
230,284,0.8275862068965517
425,235,1.0
431,235,0.8333333333333334
403,244,0.875
248,245,0.8125
266,245,0.8333333333333334
327,245,0.8888888888888888
362,245,0.8333333333333334
374,245,1.0
405,245,0.8666666666666667
427,245,0.8333333333333334
431,245,0.8333333333333334
248,377,1.0
252,395,1.0
252,410,1.0
270,410,0.9333333333333333
278,410,1.0
287,284,1.0
292,284,0.8666666666666667
364,284,1.0
394,284,1.0
417,284,1.0
431,284,0.8333333333333334
287,319,1.0
287,352,1.0
325,294,1.0
417,294,1.0
297,352,0.8888888888888888
297,390,1.0
302,413,1.0
316,314,1.0
316,336,1.0
316,408,1.0
318,336,1.0
318,352,1.0
318,423,1.0
321,352,1.0
322,336,1.0
325,354,1.0
362,336,1.0
381,336,1.0
382,336,1.0
425,336,1.0
431,336,0.8333333333333334
345,354,1.0
399,352,0.8333333333333334
357,354,0.8333333333333334
388,354,0.8333333333333334
394,354,1.0
417,354,1.0
431,354,0.8333333333333334
432,354,1.0
425,363,1.0
374,410,1.0
382,395,1.0
429,395,1.0
397,411,1.0
